 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.184,0.259,0.203,0.106,0.000,0.129,0.560,0.553,0.000
model.000.01.pdb,0.184,1.000,0.000,0.038,0.012,0.012,0.011,0.173,0.107,0.176
model.000.02.pdb,0.259,0.000,1.000,0.362,0.200,0.193,0.565,0.315,0.347,0.000
model.000.03.pdb,0.203,0.038,0.362,1.000,0.085,0.158,0.321,0.150,0.185,0.015
model.000.04.pdb,0.106,0.012,0.200,0.085,1.000,0.030,0.309,0.164,0.222,0.014
model.000.05.pdb,0.000,0.012,0.193,0.158,0.030,1.000,0.298,0.014,0.015,0.286
model.000.06.pdb,0.129,0.011,0.565,0.321,0.309,0.298,1.000,0.167,0.200,0.027
model.000.07.pdb,0.560,0.173,0.315,0.150,0.164,0.014,0.167,1.000,0.732,0.000
model.000.08.pdb,0.553,0.107,0.347,0.185,0.222,0.015,0.200,0.732,1.000,0.000
model.000.09.pdb,0.000,0.176,0.000,0.015,0.014,0.286,0.027,0.000,0.000,1.000
