 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.519,0.082,0.316,0.460,0.087,0.069,0.191,0.379,0.364,0.000
model.000.01.pdb,0.078,0.292,0.000,0.028,0.101,0.040,0.051,0.066,0.056,0.311
model.000.02.pdb,0.125,0.011,0.574,0.358,0.370,0.246,0.739,0.162,0.194,0.000
model.000.03.pdb,0.085,0.160,0.000,0.133,0.000,0.161,0.000,0.000,0.014,0.175
model.000.04.pdb,0.060,0.010,0.397,0.317,0.191,0.482,0.611,0.089,0.095,0.149
model.000.05.pdb,0.148,0.493,0.000,0.037,0.036,0.048,0.034,0.058,0.024,0.268
model.000.06.pdb,0.078,0.011,0.434,0.276,0.206,0.393,0.640,0.110,0.118,0.127
model.000.07.pdb,0.080,0.387,0.012,0.037,0.101,0.099,0.094,0.034,0.036,0.400
model.000.08.pdb,0.130,0.010,0.509,0.258,0.290,0.323,0.686,0.164,0.194,0.105
model.000.09.pdb,0.150,0.522,0.000,0.051,0.024,0.012,0.022,0.034,0.024,0.290
