 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.052,0.000,0.203,0.137,0.000,0.283,0.000,0.026,0.215,0.133
model.000.01.pdb,0.013,0.218,0.438,0.025,0.024,0.071,0.074,0.000,0.069,0.435
model.000.02.pdb,0.508,0.036,0.011,0.562,0.392,0.068,0.227,0.377,0.043,0.000
model.000.03.pdb,0.107,0.227,0.153,0.044,0.077,0.508,0.024,0.169,0.655,0.143
model.000.04.pdb,0.000,0.167,0.182,0.000,0.096,0.000,0.232,0.014,0.014,0.216
model.000.05.pdb,0.106,0.188,0.135,0.103,0.076,0.525,0.011,0.123,0.673,0.141
model.000.06.pdb,0.667,0.048,0.011,0.619,0.419,0.055,0.237,0.448,0.065,0.012
model.000.07.pdb,0.011,0.125,0.694,0.022,0.000,0.236,0.048,0.000,0.213,0.569
model.000.08.pdb,0.000,0.016,0.422,0.000,0.000,0.148,0.030,0.000,0.125,0.298
model.000.09.pdb,0.344,0.042,0.027,0.467,0.282,0.025,0.270,0.221,0.012,0.014
