 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.057,0.108,0.110,0.410,0.062,0.359,0.148,0.089,0.015,0.053
model.000.01.pdb,0.024,0.012,0.464,0.116,0.000,0.078,0.585,0.011,0.000,0.309
model.000.02.pdb,0.098,0.327,0.000,0.215,0.109,0.231,0.000,0.463,0.176,0.000
model.000.03.pdb,0.204,0.189,0.012,0.375,0.017,0.345,0.024,0.351,0.160,0.014
model.000.04.pdb,0.000,0.585,0.012,0.039,0.694,0.039,0.000,0.215,0.091,0.000
model.000.05.pdb,0.568,0.136,0.178,0.080,0.050,0.108,0.035,0.446,0.590,0.156
model.000.06.pdb,0.123,0.543,0.011,0.118,0.218,0.132,0.011,0.700,0.320,0.026
model.000.07.pdb,0.000,0.148,0.047,0.377,0.082,0.250,0.083,0.120,0.032,0.027
model.000.08.pdb,0.015,0.204,0.037,0.274,0.130,0.231,0.049,0.129,0.034,0.029
model.000.09.pdb,0.268,0.015,0.544,0.000,0.032,0.037,0.268,0.122,0.164,0.583
