 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.141,0.014,0.211,0.000,0.000,0.130,0.145,0.046,0.000,0.123
model.000.01.pdb,0.340,0.000,0.136,0.235,0.000,0.545,0.408,0.023,0.033,0.543
model.000.02.pdb,0.000,0.422,0.000,0.051,0.324,0.051,0.086,0.479,0.188,0.011
model.000.03.pdb,0.232,0.132,0.500,0.085,0.049,0.125,0.037,0.120,0.085,0.164
model.000.04.pdb,0.175,0.000,0.033,0.204,0.063,0.328,0.226,0.049,0.054,0.288
model.000.05.pdb,0.229,0.074,0.464,0.068,0.024,0.136,0.037,0.118,0.026,0.147
model.000.06.pdb,0.000,0.500,0.000,0.050,0.353,0.010,0.011,0.618,0.217,0.011
model.000.07.pdb,0.441,0.000,0.328,0.069,0.000,0.623,0.660,0.020,0.000,0.574
model.000.08.pdb,0.222,0.000,0.170,0.018,0.000,0.290,0.362,0.000,0.000,0.294
model.000.09.pdb,0.000,0.254,0.000,0.045,0.219,0.045,0.086,0.352,0.129,0.013
