 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.481,0.000,0.246,0.161,0.000,0.774,0.500,0.010,0.029,0.667
model.000.01.pdb,0.170,0.000,0.018,0.256,0.088,0.246,0.111,0.039,0.080,0.216
model.000.02.pdb,0.355,0.024,0.212,0.070,0.000,0.633,0.745,0.041,0.000,0.474
model.000.03.pdb,0.000,0.174,0.000,0.000,0.127,0.068,0.130,0.342,0.043,0.026
model.000.04.pdb,0.431,0.000,0.274,0.087,0.000,0.702,0.653,0.031,0.000,0.566
model.000.05.pdb,0.000,0.273,0.000,0.042,0.277,0.102,0.157,0.443,0.154,0.064
model.000.06.pdb,0.382,0.041,0.756,0.133,0.013,0.200,0.072,0.022,0.030,0.267
model.000.07.pdb,0.011,0.290,0.037,0.026,0.275,0.097,0.147,0.472,0.111,0.048
model.000.08.pdb,0.480,0.000,0.296,0.100,0.000,0.630,0.469,0.011,0.000,0.762
model.000.09.pdb,0.179,0.000,0.033,0.318,0.100,0.290,0.164,0.050,0.094,0.269
