 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.280,0.536,0.038,0.700,0.076,0.164,0.071,0.810,0.308
model.000.01.pdb,0.280,1.000,0.097,0.016,0.136,0.015,0.017,0.014,0.208,0.786
model.000.02.pdb,0.536,0.097,1.000,0.147,0.679,0.171,0.155,0.146,0.509,0.143
model.000.03.pdb,0.038,0.016,0.147,1.000,0.076,0.545,0.000,0.525,0.013,0.030
model.000.04.pdb,0.700,0.136,0.679,0.076,1.000,0.128,0.191,0.107,0.717,0.164
model.000.05.pdb,0.076,0.015,0.171,0.545,0.128,1.000,0.000,0.661,0.053,0.044
model.000.06.pdb,0.164,0.017,0.155,0.000,0.191,0.000,1.000,0.024,0.200,0.032
model.000.07.pdb,0.071,0.014,0.146,0.525,0.107,0.661,0.024,1.000,0.050,0.041
model.000.08.pdb,0.810,0.208,0.509,0.013,0.717,0.053,0.200,0.050,1.000,0.240
model.000.09.pdb,0.308,0.786,0.143,0.030,0.164,0.044,0.032,0.041,0.240,1.000
