 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.026,0.259,0.015,0.333,0.000,0.082,0.204,0.265,0.269,0.026
model.000.01.pdb,0.197,0.081,0.226,0.204,0.048,0.017,0.059,0.095,0.074,0.176
model.000.02.pdb,0.012,0.509,0.000,0.054,0.012,0.250,0.532,0.232,0.490,0.012
model.000.03.pdb,0.132,0.397,0.085,0.538,0.048,0.488,0.352,0.707,0.370,0.114
model.000.04.pdb,0.369,0.038,0.309,0.023,0.773,0.034,0.041,0.021,0.030,0.376
model.000.05.pdb,0.134,0.517,0.077,0.367,0.056,0.619,0.481,0.711,0.446,0.131
model.000.06.pdb,0.405,0.065,0.301,0.026,0.683,0.068,0.058,0.048,0.045,0.413
model.000.07.pdb,0.500,0.065,0.423,0.080,0.564,0.067,0.039,0.061,0.049,0.544
model.000.08.pdb,0.043,0.468,0.036,0.045,0.032,0.092,0.456,0.212,0.500,0.032
model.000.09.pdb,0.571,0.040,0.603,0.077,0.534,0.037,0.032,0.022,0.032,0.514
