 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.306,0.000,0.509,0.027,0.381,0.000,0.344,0.000,0.483,0.000
model.000.01.pdb,0.079,0.317,0.000,0.100,0.011,0.525,0.000,0.324,0.012,0.460
model.000.02.pdb,0.638,0.000,0.357,0.125,0.277,0.023,0.258,0.000,0.281,0.024
model.000.03.pdb,0.141,0.121,0.143,0.000,0.053,0.037,0.072,0.049,0.130,0.037
model.000.04.pdb,0.038,0.414,0.000,0.056,0.000,0.333,0.000,0.329,0.000,0.338
model.000.05.pdb,0.188,0.091,0.679,0.000,0.578,0.039,0.600,0.138,0.695,0.050
model.000.06.pdb,0.082,0.127,0.444,0.014,0.700,0.047,0.702,0.197,0.647,0.072
model.000.07.pdb,0.076,0.370,0.010,0.190,0.040,0.803,0.031,0.521,0.040,0.703
model.000.08.pdb,0.043,0.254,0.000,0.000,0.000,0.200,0.000,0.181,0.000,0.186
model.000.09.pdb,0.227,0.038,0.778,0.027,0.526,0.022,0.519,0.069,0.593,0.022
