 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.036,0.191,0.000,0.000,0.114,0.089,0.177,0.077,0.138,0.023
model.000.01.pdb,0.105,0.436,0.042,0.450,0.024,0.405,0.392,0.659,0.440,0.062
model.000.02.pdb,0.411,0.054,0.324,0.013,0.667,0.068,0.047,0.036,0.034,0.419
model.000.03.pdb,0.000,0.148,0.011,0.000,0.075,0.000,0.133,0.025,0.147,0.042
model.000.04.pdb,0.143,0.210,0.127,0.636,0.025,0.341,0.155,0.422,0.172,0.155
model.000.05.pdb,0.000,0.133,0.011,0.000,0.110,0.000,0.132,0.037,0.145,0.041
model.000.06.pdb,0.458,0.031,0.391,0.039,0.621,0.013,0.022,0.011,0.022,0.408
model.000.07.pdb,0.043,0.722,0.023,0.125,0.031,0.404,0.735,0.491,0.720,0.064
model.000.08.pdb,0.000,0.423,0.000,0.039,0.000,0.286,0.375,0.260,0.367,0.038
model.000.09.pdb,0.444,0.049,0.344,0.048,0.476,0.065,0.040,0.056,0.053,0.453
