 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.049,0.046,0.456,0.010,0.122,0.050,0.000,0.101,0.035,0.130
model.000.01.pdb,0.176,0.686,0.044,0.136,0.554,0.463,0.165,0.000,0.025,0.197
model.000.02.pdb,0.013,0.025,0.324,0.023,0.064,0.042,0.011,0.098,0.039,0.078
model.000.03.pdb,0.000,0.161,0.028,0.000,0.375,0.160,0.000,0.000,0.000,0.576
model.000.04.pdb,0.115,0.033,0.603,0.088,0.022,0.049,0.065,0.164,0.071,0.000
model.000.05.pdb,0.071,0.467,0.072,0.000,0.367,0.595,0.000,0.000,0.000,0.152
model.000.06.pdb,0.161,0.660,0.036,0.120,0.491,0.511,0.151,0.000,0.014,0.140
model.000.07.pdb,0.062,0.596,0.037,0.025,0.689,0.545,0.038,0.000,0.000,0.319
model.000.08.pdb,0.123,0.681,0.036,0.133,0.600,0.500,0.164,0.000,0.027,0.179
model.000.09.pdb,0.036,0.069,0.423,0.053,0.068,0.089,0.042,0.099,0.059,0.067
