 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.053,0.000,0.186,0.155,0.012,0.267,0.000,0.027,0.200,0.136
model.000.01.pdb,0.012,0.121,0.617,0.023,0.000,0.155,0.053,0.000,0.135,0.553
model.000.02.pdb,0.424,0.025,0.012,0.600,0.338,0.047,0.239,0.300,0.034,0.000
model.000.03.pdb,0.136,0.194,0.139,0.068,0.090,0.467,0.036,0.187,0.579,0.129
model.000.04.pdb,0.024,0.190,0.481,0.023,0.022,0.107,0.066,0.000,0.104,0.480
model.000.05.pdb,0.013,0.098,0.438,0.025,0.000,0.056,0.074,0.000,0.055,0.375
model.000.06.pdb,0.082,0.231,0.171,0.044,0.066,0.467,0.024,0.141,0.607,0.162
model.000.07.pdb,0.203,0.180,0.000,0.074,0.226,0.047,0.182,0.388,0.078,0.000
model.000.08.pdb,0.122,0.246,0.000,0.049,0.100,0.197,0.085,0.194,0.306,0.014
model.000.09.pdb,0.000,0.298,0.167,0.000,0.099,0.015,0.098,0.014,0.044,0.224
