 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.022,0.509,0.000,0.204,0.022,0.119,0.418,0.293,0.463,0.011
model.000.01.pdb,0.333,0.000,0.297,0.000,0.403,0.000,0.000,0.000,0.000,0.270
model.000.02.pdb,0.012,0.323,0.000,0.034,0.035,0.016,0.321,0.127,0.339,0.023
model.000.03.pdb,0.153,0.114,0.175,0.213,0.037,0.000,0.077,0.136,0.092,0.133
model.000.04.pdb,0.422,0.000,0.519,0.083,0.310,0.000,0.000,0.000,0.000,0.409
model.000.05.pdb,0.105,0.667,0.067,0.274,0.039,0.379,0.673,0.589,0.632,0.070
model.000.06.pdb,0.060,0.556,0.053,0.145,0.046,0.561,0.617,0.521,0.571,0.083
model.000.07.pdb,0.434,0.030,0.429,0.064,0.708,0.050,0.043,0.045,0.032,0.480
model.000.08.pdb,0.221,0.000,0.276,0.056,0.164,0.000,0.000,0.015,0.000,0.214
model.000.09.pdb,0.046,0.623,0.025,0.250,0.033,0.294,0.560,0.471,0.612,0.033
