 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.314,0.121,0.423,0.562,0.020,0.640,0.033,0.028,0.328,0.010
model.000.01.pdb,0.361,0.217,0.037,0.500,0.000,0.333,0.000,0.034,0.031,0.038
model.000.02.pdb,0.183,0.054,0.393,0.362,0.069,0.509,0.102,0.097,0.348,0.051
model.000.03.pdb,0.000,0.014,0.014,0.071,0.465,0.108,0.576,0.473,0.012,0.320
model.000.04.pdb,0.228,0.055,0.453,0.393,0.029,0.574,0.067,0.067,0.443,0.030
model.000.05.pdb,0.000,0.069,0.041,0.114,0.408,0.164,0.477,0.493,0.011,0.457
model.000.06.pdb,0.167,0.111,0.346,0.044,0.042,0.068,0.023,0.061,0.588,0.044
model.000.07.pdb,0.000,0.038,0.038,0.092,0.493,0.139,0.554,0.560,0.045,0.408
model.000.08.pdb,0.271,0.079,0.447,0.468,0.021,0.551,0.024,0.010,0.386,0.011
model.000.09.pdb,0.359,0.277,0.053,0.564,0.011,0.388,0.013,0.044,0.044,0.062
