 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.301,0.034,0.035,0.607,0.533,0.012,0.013,0.000,0.014,0.347
model.000.01.pdb,0.078,0.127,0.101,0.012,0.096,0.183,0.153,0.148,0.476,0.090
model.000.02.pdb,0.024,0.673,0.696,0.023,0.000,0.622,0.400,0.143,0.123,0.024
model.000.03.pdb,0.406,0.044,0.047,0.695,0.403,0.012,0.025,0.027,0.000,0.456
model.000.04.pdb,0.471,0.010,0.022,0.411,0.492,0.000,0.049,0.145,0.129,0.478
model.000.05.pdb,0.046,0.275,0.254,0.133,0.023,0.254,0.041,0.000,0.029,0.057
model.000.06.pdb,0.534,0.036,0.051,0.243,0.246,0.013,0.121,0.259,0.153,0.468
model.000.07.pdb,0.278,0.000,0.000,0.462,0.712,0.000,0.013,0.014,0.060,0.288
model.000.08.pdb,0.022,0.233,0.194,0.103,0.071,0.246,0.040,0.000,0.059,0.022
model.000.09.pdb,0.025,0.580,0.562,0.024,0.000,0.628,0.396,0.173,0.173,0.037
