 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.036,0.105,0.411,0.000,0.143,0.000,0.458,0.043,0.000,0.444
model.000.01.pdb,0.191,0.436,0.054,0.148,0.210,0.133,0.031,0.722,0.423,0.049
model.000.02.pdb,0.000,0.042,0.324,0.011,0.127,0.011,0.391,0.023,0.000,0.344
model.000.03.pdb,0.000,0.450,0.013,0.000,0.636,0.000,0.039,0.125,0.039,0.048
model.000.04.pdb,0.114,0.024,0.667,0.075,0.025,0.110,0.621,0.031,0.000,0.476
model.000.05.pdb,0.089,0.405,0.068,0.000,0.341,0.000,0.013,0.404,0.286,0.065
model.000.06.pdb,0.177,0.392,0.047,0.133,0.155,0.132,0.022,0.735,0.375,0.040
model.000.07.pdb,0.077,0.659,0.036,0.025,0.422,0.037,0.011,0.491,0.260,0.056
model.000.08.pdb,0.138,0.440,0.034,0.147,0.172,0.145,0.022,0.720,0.367,0.053
model.000.09.pdb,0.023,0.062,0.419,0.042,0.155,0.041,0.408,0.064,0.038,0.453
