 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.070,0.115,0.078,0.065,0.146,0.000,0.097,0.070,0.111,0.106
model.000.01.pdb,0.360,0.032,0.329,0.000,0.507,0.013,0.023,0.012,0.023,0.425
model.000.02.pdb,0.012,0.509,0.000,0.135,0.012,0.154,0.532,0.302,0.553,0.000
model.000.03.pdb,0.037,0.345,0.028,0.036,0.062,0.094,0.346,0.196,0.315,0.049
model.000.04.pdb,0.149,0.270,0.134,0.553,0.024,0.250,0.241,0.438,0.237,0.130
model.000.05.pdb,0.036,0.367,0.000,0.000,0.099,0.265,0.321,0.224,0.316,0.047
model.000.06.pdb,0.046,0.755,0.038,0.204,0.022,0.294,0.733,0.531,0.795,0.033
model.000.07.pdb,0.059,0.149,0.052,0.085,0.034,0.000,0.132,0.088,0.147,0.070
model.000.08.pdb,0.062,0.176,0.056,0.135,0.024,0.000,0.143,0.113,0.159,0.074
model.000.09.pdb,0.309,0.091,0.250,0.050,0.400,0.123,0.070,0.090,0.055,0.319
