 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.145,0.500,0.100,0.085,0.179,0.239,0.110,0.235,0.308,0.121
model.000.01.pdb,0.644,0.104,0.012,0.523,0.500,0.069,0.213,0.593,0.067,0.012
model.000.02.pdb,0.000,0.308,0.556,0.012,0.012,0.310,0.000,0.000,0.300,0.558
model.000.03.pdb,0.026,0.138,0.388,0.053,0.012,0.510,0.000,0.014,0.462,0.354
model.000.04.pdb,0.000,0.259,0.273,0.000,0.118,0.041,0.213,0.027,0.054,0.314
model.000.05.pdb,0.025,0.000,0.358,0.120,0.000,0.219,0.013,0.000,0.143,0.278
model.000.06.pdb,0.024,0.194,0.689,0.023,0.000,0.206,0.026,0.000,0.183,0.659
model.000.07.pdb,0.062,0.622,0.136,0.012,0.125,0.157,0.097,0.171,0.239,0.161
model.000.08.pdb,0.026,0.789,0.148,0.012,0.118,0.169,0.104,0.116,0.219,0.175
model.000.09.pdb,0.217,0.000,0.028,0.387,0.141,0.053,0.164,0.125,0.025,0.000
