 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.169,0.013,0.119,0.340,0.281,0.061,0.203,0.048,0.157,0.036
model.000.01.pdb,0.088,0.042,0.553,0.000,0.333,0.024,0.364,0.089,0.436,0.012
model.000.02.pdb,0.022,0.382,0.000,0.205,0.100,0.507,0.080,0.567,0.065,0.537
model.000.03.pdb,0.760,0.011,0.160,0.186,0.119,0.112,0.113,0.010,0.134,0.089
model.000.04.pdb,0.029,0.127,0.278,0.000,0.169,0.038,0.164,0.139,0.250,0.039
model.000.05.pdb,0.679,0.011,0.143,0.292,0.105,0.099,0.111,0.020,0.146,0.088
model.000.06.pdb,0.056,0.352,0.011,0.250,0.020,0.631,0.011,0.466,0.020,0.641
model.000.07.pdb,0.205,0.072,0.611,0.037,0.843,0.021,0.745,0.124,0.722,0.032
model.000.08.pdb,0.113,0.029,0.283,0.067,0.562,0.000,0.458,0.080,0.370,0.000
model.000.09.pdb,0.000,0.439,0.013,0.169,0.101,0.353,0.079,0.500,0.062,0.400
