 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.038,0.048,0.397,0.011,0.100,0.067,0.000,0.091,0.037,0.121
model.000.01.pdb,0.219,0.714,0.082,0.139,0.491,0.510,0.169,0.000,0.013,0.127
model.000.02.pdb,0.175,0.667,0.048,0.117,0.473,0.490,0.132,0.000,0.013,0.098
model.000.03.pdb,0.091,0.034,0.556,0.091,0.022,0.051,0.067,0.154,0.061,0.000
model.000.04.pdb,0.040,0.000,0.333,0.154,0.000,0.000,0.084,0.327,0.191,0.000
model.000.05.pdb,0.169,0.630,0.000,0.157,0.490,0.417,0.191,0.000,0.043,0.192
model.000.06.pdb,0.015,0.469,0.026,0.000,0.698,0.477,0.013,0.000,0.000,0.405
model.000.07.pdb,0.000,0.138,0.028,0.000,0.340,0.157,0.000,0.000,0.000,0.559
model.000.08.pdb,0.000,0.119,0.014,0.043,0.288,0.113,0.091,0.085,0.105,0.606
model.000.09.pdb,0.064,0.035,0.386,0.044,0.071,0.051,0.033,0.104,0.062,0.070
