 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.053,0.012,0.424,0.136,0.024,0.013,0.082,0.203,0.122,0.000
model.000.01.pdb,0.000,0.121,0.025,0.194,0.190,0.098,0.231,0.180,0.246,0.298
model.000.02.pdb,0.186,0.617,0.012,0.139,0.481,0.438,0.171,0.000,0.000,0.167
model.000.03.pdb,0.155,0.023,0.600,0.068,0.023,0.025,0.044,0.074,0.049,0.000
model.000.04.pdb,0.012,0.000,0.338,0.090,0.022,0.000,0.066,0.226,0.100,0.099
model.000.05.pdb,0.267,0.155,0.047,0.467,0.107,0.056,0.467,0.047,0.197,0.015
model.000.06.pdb,0.000,0.053,0.239,0.036,0.066,0.074,0.024,0.182,0.085,0.098
model.000.07.pdb,0.027,0.000,0.300,0.187,0.000,0.000,0.141,0.388,0.194,0.014
model.000.08.pdb,0.200,0.135,0.034,0.579,0.104,0.055,0.607,0.078,0.306,0.044
model.000.09.pdb,0.136,0.553,0.000,0.129,0.480,0.375,0.162,0.000,0.014,0.224
