 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.049,0.176,0.013,0.000,0.115,0.071,0.161,0.062,0.123,0.036
model.000.01.pdb,0.046,0.686,0.025,0.161,0.033,0.467,0.660,0.596,0.681,0.069
model.000.02.pdb,0.456,0.044,0.324,0.028,0.603,0.072,0.036,0.037,0.036,0.423
model.000.03.pdb,0.010,0.136,0.023,0.000,0.088,0.000,0.120,0.025,0.133,0.053
model.000.04.pdb,0.122,0.554,0.064,0.375,0.022,0.367,0.491,0.689,0.600,0.068
model.000.05.pdb,0.050,0.463,0.042,0.160,0.049,0.595,0.511,0.545,0.500,0.089
model.000.06.pdb,0.000,0.165,0.011,0.000,0.065,0.000,0.151,0.038,0.164,0.042
model.000.07.pdb,0.101,0.000,0.098,0.000,0.164,0.000,0.000,0.000,0.000,0.099
model.000.08.pdb,0.035,0.025,0.039,0.000,0.071,0.000,0.014,0.000,0.027,0.059
model.000.09.pdb,0.130,0.197,0.078,0.576,0.000,0.152,0.140,0.319,0.179,0.067
