 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.143,0.028,0.214,0.000,0.014,0.117,0.129,0.047,0.000,0.125
model.000.01.pdb,0.418,0.000,0.233,0.077,0.000,0.614,0.689,0.021,0.000,0.560
model.000.02.pdb,0.000,0.338,0.000,0.040,0.265,0.042,0.091,0.425,0.130,0.000
model.000.03.pdb,0.217,0.164,0.429,0.070,0.063,0.114,0.025,0.146,0.101,0.151
model.000.04.pdb,0.362,0.000,0.172,0.203,0.013,0.661,0.510,0.032,0.029,0.519
model.000.05.pdb,0.246,0.000,0.117,0.068,0.000,0.466,0.769,0.035,0.000,0.392
model.000.06.pdb,0.273,0.090,0.481,0.101,0.037,0.140,0.025,0.097,0.041,0.183
model.000.07.pdb,0.000,0.391,0.054,0.170,0.260,0.000,0.000,0.209,0.486,0.000
model.000.08.pdb,0.103,0.206,0.224,0.136,0.103,0.035,0.000,0.120,0.175,0.014
model.000.09.pdb,0.327,0.000,0.089,0.425,0.066,0.274,0.125,0.025,0.056,0.327
