 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.073,0.324,0.013,0.039,0.174,0.037,0.036,0.062,0.066,0.288
model.000.01.pdb,0.090,0.033,0.444,0.382,0.200,0.429,0.680,0.122,0.130,0.139
model.000.02.pdb,0.080,0.034,0.451,0.358,0.194,0.357,0.702,0.113,0.121,0.099
model.000.03.pdb,0.138,0.507,0.012,0.065,0.024,0.075,0.023,0.023,0.012,0.375
model.000.04.pdb,0.164,0.638,0.000,0.000,0.013,0.000,0.000,0.169,0.099,0.155
model.000.05.pdb,0.134,0.000,0.605,0.340,0.211,0.315,0.705,0.175,0.190,0.028
model.000.06.pdb,0.090,0.012,0.269,0.164,0.535,0.172,0.500,0.109,0.138,0.061
model.000.07.pdb,0.063,0.000,0.111,0.018,0.622,0.000,0.179,0.083,0.132,0.049
model.000.08.pdb,0.264,0.055,0.224,0.036,0.395,0.000,0.179,0.327,0.429,0.000
model.000.09.pdb,0.098,0.389,0.012,0.038,0.122,0.049,0.047,0.073,0.078,0.318
