 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.011,0.169,0.660,0.023,0.011,0.167,0.065,0.000,0.147,0.562
model.000.01.pdb,0.000,0.184,0.132,0.000,0.103,0.000,0.164,0.047,0.000,0.163
model.000.02.pdb,0.045,0.096,0.608,0.044,0.021,0.158,0.089,0.000,0.125,0.549
model.000.03.pdb,0.275,0.000,0.026,0.475,0.177,0.063,0.206,0.164,0.024,0.014
model.000.04.pdb,0.022,0.145,0.653,0.033,0.000,0.208,0.049,0.000,0.171,0.560
model.000.05.pdb,0.379,0.026,0.052,0.476,0.315,0.048,0.349,0.275,0.011,0.040
model.000.06.pdb,0.012,0.309,0.254,0.024,0.035,0.538,0.013,0.052,0.608,0.246
model.000.07.pdb,0.412,0.012,0.062,0.581,0.295,0.082,0.286,0.274,0.068,0.051
model.000.08.pdb,0.012,0.148,0.714,0.024,0.000,0.200,0.041,0.000,0.176,0.643
model.000.09.pdb,0.000,0.192,0.164,0.000,0.113,0.000,0.214,0.044,0.014,0.196
