 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.203,0.012,0.030,0.067,0.000,0.209,0.083,0.224,0.043
model.000.01.pdb,0.557,0.071,0.593,0.095,0.366,0.111,0.051,0.082,0.078,0.540
model.000.02.pdb,0.069,0.760,0.037,0.264,0.022,0.308,0.633,0.540,0.688,0.033
model.000.03.pdb,0.072,0.012,0.039,0.000,0.213,0.000,0.000,0.000,0.000,0.071
model.000.04.pdb,0.064,0.667,0.058,0.104,0.052,0.415,0.673,0.448,0.660,0.085
model.000.05.pdb,0.438,0.031,0.412,0.053,0.698,0.053,0.045,0.047,0.045,0.390
model.000.06.pdb,0.067,0.667,0.049,0.095,0.043,0.458,0.708,0.463,0.729,0.078
model.000.07.pdb,0.559,0.135,0.516,0.111,0.521,0.209,0.120,0.154,0.119,0.565
model.000.08.pdb,0.053,0.709,0.047,0.177,0.052,0.451,0.686,0.566,0.706,0.086
model.000.09.pdb,0.444,0.042,0.418,0.054,0.683,0.068,0.034,0.035,0.034,0.472
