 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.011,0.000,0.045,0.275,0.022,0.379,0.012,0.412,0.012,0.000
model.000.01.pdb,0.169,0.184,0.096,0.000,0.145,0.026,0.309,0.012,0.148,0.192
model.000.02.pdb,0.660,0.132,0.608,0.026,0.653,0.052,0.254,0.062,0.714,0.164
model.000.03.pdb,0.023,0.000,0.044,0.475,0.033,0.476,0.024,0.581,0.024,0.000
model.000.04.pdb,0.011,0.103,0.021,0.177,0.000,0.315,0.035,0.295,0.000,0.113
model.000.05.pdb,0.167,0.000,0.158,0.063,0.208,0.048,0.538,0.082,0.200,0.000
model.000.06.pdb,0.065,0.164,0.089,0.206,0.049,0.349,0.013,0.286,0.041,0.214
model.000.07.pdb,0.000,0.047,0.000,0.164,0.000,0.275,0.052,0.274,0.000,0.044
model.000.08.pdb,0.147,0.000,0.125,0.024,0.171,0.011,0.608,0.068,0.176,0.014
model.000.09.pdb,0.562,0.163,0.549,0.014,0.560,0.040,0.246,0.051,0.643,0.196
