 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.141,0.340,0.000,0.232,0.175,0.229,0.000,0.441,0.222,0.000
model.000.01.pdb,0.014,0.000,0.422,0.132,0.000,0.074,0.500,0.000,0.000,0.254
model.000.02.pdb,0.211,0.136,0.000,0.500,0.033,0.464,0.000,0.328,0.170,0.000
model.000.03.pdb,0.000,0.235,0.051,0.085,0.204,0.068,0.050,0.069,0.018,0.045
model.000.04.pdb,0.000,0.000,0.324,0.049,0.063,0.024,0.353,0.000,0.000,0.219
model.000.05.pdb,0.130,0.545,0.051,0.125,0.328,0.136,0.010,0.623,0.290,0.045
model.000.06.pdb,0.145,0.408,0.086,0.037,0.226,0.037,0.011,0.660,0.362,0.086
model.000.07.pdb,0.046,0.023,0.479,0.120,0.049,0.118,0.618,0.020,0.000,0.352
model.000.08.pdb,0.000,0.033,0.188,0.085,0.054,0.026,0.217,0.000,0.000,0.129
model.000.09.pdb,0.123,0.543,0.011,0.164,0.288,0.147,0.011,0.574,0.294,0.013
