 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.169,0.088,0.022,0.760,0.029,0.679,0.056,0.205,0.113,0.000
model.000.01.pdb,0.013,0.042,0.382,0.011,0.127,0.011,0.352,0.072,0.029,0.439
model.000.02.pdb,0.119,0.553,0.000,0.160,0.278,0.143,0.011,0.611,0.283,0.013
model.000.03.pdb,0.340,0.000,0.205,0.186,0.000,0.292,0.250,0.037,0.067,0.169
model.000.04.pdb,0.281,0.333,0.100,0.119,0.169,0.105,0.020,0.843,0.562,0.101
model.000.05.pdb,0.061,0.024,0.507,0.112,0.038,0.099,0.631,0.021,0.000,0.353
model.000.06.pdb,0.203,0.364,0.080,0.113,0.164,0.111,0.011,0.745,0.458,0.079
model.000.07.pdb,0.048,0.089,0.567,0.010,0.139,0.020,0.466,0.124,0.080,0.500
model.000.08.pdb,0.157,0.436,0.065,0.134,0.250,0.146,0.020,0.722,0.370,0.062
model.000.09.pdb,0.036,0.012,0.537,0.089,0.039,0.088,0.641,0.032,0.000,0.400
