 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.153,0.119,0.271,0.056,0.094,0.078,0.033,0.068,0.483,0.053
model.000.01.pdb,0.015,0.188,0.000,0.069,0.309,0.105,0.357,0.423,0.036,0.530
model.000.02.pdb,0.288,0.104,0.451,0.471,0.020,0.519,0.033,0.028,0.441,0.021
model.000.03.pdb,0.000,0.000,0.045,0.000,0.266,0.000,0.219,0.154,0.110,0.067
model.000.04.pdb,0.156,0.038,0.473,0.323,0.067,0.483,0.099,0.084,0.415,0.039
model.000.05.pdb,0.000,0.049,0.000,0.048,0.657,0.044,0.522,0.532,0.032,0.500
model.000.06.pdb,0.190,0.056,0.434,0.328,0.039,0.527,0.080,0.067,0.403,0.031
model.000.07.pdb,0.000,0.074,0.048,0.158,0.410,0.203,0.472,0.564,0.043,0.493
model.000.08.pdb,0.304,0.096,0.429,0.421,0.038,0.571,0.065,0.045,0.400,0.040
model.000.09.pdb,0.000,0.062,0.000,0.036,0.620,0.057,0.552,0.558,0.032,0.507
