 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.226,0.000,0.060,0.347,0.208,0.109,0.020,0.069,0.576
model.000.01.pdb,0.000,0.043,0.053,0.068,0.159,0.048,0.099,0.188,0.131,0.372
model.000.02.pdb,0.222,0.412,0.013,0.258,0.281,0.250,0.279,0.000,0.095,0.054
model.000.03.pdb,0.000,0.404,0.025,0.000,0.682,0.467,0.013,0.000,0.000,0.463
model.000.04.pdb,0.157,0.020,0.549,0.161,0.020,0.056,0.113,0.208,0.125,0.000
model.000.05.pdb,0.042,0.569,0.060,0.024,0.620,0.622,0.024,0.000,0.000,0.314
model.000.06.pdb,0.149,0.046,0.597,0.043,0.034,0.091,0.043,0.086,0.048,0.000
model.000.07.pdb,0.135,0.039,0.554,0.108,0.049,0.064,0.066,0.136,0.106,0.033
model.000.08.pdb,0.262,0.361,0.000,0.348,0.292,0.206,0.369,0.015,0.159,0.094
model.000.09.pdb,0.046,0.010,0.400,0.062,0.021,0.023,0.062,0.224,0.133,0.050
