 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.154,0.141,0.011,0.673,0.108,0.072,0.673,0.158,0.393,0.079
model.000.01.pdb,0.027,0.079,0.364,0.023,0.064,0.103,0.011,0.175,0.068,0.045
model.000.02.pdb,0.104,0.569,0.000,0.147,0.588,0.377,0.178,0.000,0.027,0.288
model.000.03.pdb,0.321,0.013,0.200,0.188,0.000,0.015,0.206,0.017,0.159,0.000
model.000.04.pdb,0.266,0.740,0.105,0.120,0.467,0.633,0.134,0.000,0.000,0.104
model.000.05.pdb,0.062,0.022,0.449,0.140,0.033,0.037,0.089,0.203,0.113,0.013
model.000.06.pdb,0.188,0.745,0.084,0.100,0.509,0.596,0.128,0.000,0.013,0.131
model.000.07.pdb,0.061,0.134,0.530,0.021,0.119,0.162,0.010,0.114,0.034,0.026
model.000.08.pdb,0.143,0.792,0.068,0.122,0.526,0.612,0.150,0.000,0.037,0.197
model.000.09.pdb,0.037,0.034,0.435,0.115,0.022,0.050,0.090,0.152,0.086,0.000
