 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.053,0.000,0.013,0.571,0.011,0.500,0.474,0.022,0.438
model.000.01.pdb,0.488,0.511,0.133,0.169,0.032,0.152,0.012,0.062,0.215,0.148
model.000.02.pdb,0.235,0.077,0.591,0.365,0.020,0.472,0.023,0.019,0.446,0.011
model.000.03.pdb,0.000,0.038,0.012,0.025,0.697,0.023,0.683,0.519,0.045,0.427
model.000.04.pdb,0.040,0.269,0.000,0.049,0.402,0.045,0.333,0.446,0.011,0.594
model.000.05.pdb,0.078,0.027,0.407,0.041,0.128,0.077,0.105,0.110,0.554,0.041
model.000.06.pdb,0.015,0.321,0.028,0.136,0.195,0.155,0.177,0.282,0.000,0.478
model.000.07.pdb,0.029,0.167,0.000,0.013,0.486,0.012,0.297,0.333,0.000,0.417
model.000.08.pdb,0.109,0.054,0.322,0.039,0.125,0.075,0.066,0.087,0.508,0.040
model.000.09.pdb,0.304,0.098,0.426,0.388,0.021,0.415,0.024,0.020,0.418,0.022
