 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.057,0.072,0.456,0.292,0.024,0.125,0.230,0.087,0.750
model.000.01.pdb,0.057,1.000,0.792,0.055,0.000,0.653,0.368,0.091,0.108,0.056
model.000.02.pdb,0.072,0.792,1.000,0.057,0.000,0.638,0.370,0.097,0.079,0.071
model.000.03.pdb,0.456,0.055,0.057,1.000,0.412,0.012,0.037,0.054,0.000,0.485
model.000.04.pdb,0.292,0.000,0.000,0.412,1.000,0.000,0.013,0.043,0.043,0.301
model.000.05.pdb,0.024,0.653,0.638,0.012,0.000,1.000,0.327,0.105,0.145,0.036
model.000.06.pdb,0.125,0.368,0.370,0.037,0.013,0.327,1.000,0.429,0.250,0.078
model.000.07.pdb,0.230,0.091,0.097,0.054,0.043,0.105,0.429,1.000,0.350,0.167
model.000.08.pdb,0.087,0.108,0.079,0.000,0.043,0.145,0.250,0.350,1.000,0.055
model.000.09.pdb,0.750,0.056,0.071,0.485,0.301,0.036,0.078,0.167,0.055,1.000
