 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.180,0.212,0.147,0.058,0.102,0.147,0.000,0.045,0.000
model.000.01.pdb,0.180,1.000,0.062,0.091,0.549,0.690,0.105,0.000,0.000,0.161
model.000.02.pdb,0.212,0.062,1.000,0.022,0.024,0.097,0.000,0.092,0.037,0.000
model.000.03.pdb,0.147,0.091,0.022,1.000,0.037,0.013,0.698,0.232,0.528,0.014
model.000.04.pdb,0.058,0.549,0.024,0.037,1.000,0.500,0.049,0.000,0.000,0.404
model.000.05.pdb,0.102,0.690,0.097,0.013,0.500,1.000,0.013,0.000,0.000,0.160
model.000.06.pdb,0.147,0.105,0.000,0.698,0.049,0.013,1.000,0.150,0.500,0.060
model.000.07.pdb,0.000,0.000,0.092,0.232,0.000,0.000,0.150,1.000,0.364,0.020
model.000.08.pdb,0.045,0.000,0.037,0.528,0.000,0.000,0.500,0.364,1.000,0.033
model.000.09.pdb,0.000,0.161,0.000,0.014,0.404,0.160,0.060,0.020,0.033,1.000
