 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.022,0.333,0.012,0.153,0.422,0.105,0.060,0.434,0.221,0.046
model.000.01.pdb,0.509,0.000,0.323,0.114,0.000,0.667,0.556,0.030,0.000,0.623
model.000.02.pdb,0.000,0.297,0.000,0.175,0.519,0.067,0.053,0.429,0.276,0.025
model.000.03.pdb,0.204,0.000,0.034,0.213,0.083,0.274,0.145,0.064,0.056,0.250
model.000.04.pdb,0.022,0.403,0.035,0.037,0.310,0.039,0.046,0.708,0.164,0.033
model.000.05.pdb,0.119,0.000,0.016,0.000,0.000,0.379,0.561,0.050,0.000,0.294
model.000.06.pdb,0.418,0.000,0.321,0.077,0.000,0.673,0.617,0.043,0.000,0.560
model.000.07.pdb,0.293,0.000,0.127,0.136,0.000,0.589,0.521,0.045,0.015,0.471
model.000.08.pdb,0.463,0.000,0.339,0.092,0.000,0.632,0.571,0.032,0.000,0.612
model.000.09.pdb,0.011,0.270,0.023,0.133,0.409,0.070,0.083,0.480,0.214,0.033
