 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.085,0.145,0.081,0.348,0.057,0.508,0.000,0.406,0.051,0.154
model.000.01.pdb,0.593,0.079,0.636,0.117,0.780,0.127,0.242,0.093,0.600,0.108
model.000.02.pdb,0.608,0.085,0.686,0.079,0.809,0.118,0.200,0.098,0.617,0.115
model.000.03.pdb,0.034,0.014,0.067,0.460,0.044,0.532,0.023,0.613,0.024,0.026
model.000.04.pdb,0.000,0.015,0.000,0.211,0.000,0.309,0.038,0.288,0.000,0.014
model.000.05.pdb,0.540,0.093,0.558,0.000,0.667,0.026,0.281,0.037,0.614,0.125
model.000.06.pdb,0.574,0.436,0.393,0.057,0.453,0.100,0.045,0.079,0.511,0.463
model.000.07.pdb,0.283,0.724,0.125,0.062,0.145,0.076,0.016,0.056,0.216,0.688
model.000.08.pdb,0.236,0.389,0.091,0.000,0.127,0.014,0.123,0.000,0.170,0.421
model.000.09.pdb,0.034,0.090,0.080,0.358,0.056,0.516,0.024,0.456,0.024,0.100
