 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.052,0.013,0.508,0.107,0.000,0.106,0.667,0.011,0.000,0.344
model.000.01.pdb,0.000,0.218,0.036,0.227,0.167,0.188,0.048,0.125,0.016,0.042
model.000.02.pdb,0.203,0.438,0.011,0.153,0.182,0.135,0.011,0.694,0.422,0.027
model.000.03.pdb,0.137,0.025,0.562,0.044,0.000,0.103,0.619,0.022,0.000,0.467
model.000.04.pdb,0.000,0.024,0.392,0.077,0.096,0.076,0.419,0.000,0.000,0.282
model.000.05.pdb,0.283,0.071,0.068,0.508,0.000,0.525,0.055,0.236,0.148,0.025
model.000.06.pdb,0.000,0.074,0.227,0.024,0.232,0.011,0.237,0.048,0.030,0.270
model.000.07.pdb,0.026,0.000,0.377,0.169,0.014,0.123,0.448,0.000,0.000,0.221
model.000.08.pdb,0.215,0.069,0.043,0.655,0.014,0.673,0.065,0.213,0.125,0.012
model.000.09.pdb,0.133,0.435,0.000,0.143,0.216,0.141,0.012,0.569,0.298,0.014
