 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.477,0.000,0.196,0.425,0.048,0.317,0.167,0.000,0.096,0.354
model.000.01.pdb,0.180,0.141,0.097,0.778,0.333,0.132,0.045,0.059,0.422,0.143
model.000.02.pdb,0.469,0.000,0.417,0.032,0.000,0.433,0.296,0.000,0.000,0.412
model.000.03.pdb,0.281,0.000,0.095,0.204,0.014,0.500,0.420,0.058,0.032,0.490
model.000.04.pdb,0.020,0.493,0.032,0.033,0.275,0.027,0.042,0.714,0.190,0.030
model.000.05.pdb,0.290,0.000,0.134,0.125,0.013,0.593,0.592,0.054,0.014,0.455
model.000.06.pdb,0.034,0.333,0.036,0.000,0.247,0.050,0.072,0.535,0.107,0.034
model.000.07.pdb,0.029,0.367,0.062,0.042,0.354,0.071,0.071,0.562,0.207,0.009
model.000.08.pdb,0.482,0.000,0.717,0.103,0.000,0.406,0.286,0.031,0.000,0.383
model.000.09.pdb,0.032,0.463,0.011,0.219,0.540,0.037,0.033,0.494,0.348,0.032
