 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.095,0.050,0.076,0.013,0.091,0.063,0.426,0.072,0.087,0.063
model.000.01.pdb,0.011,0.014,0.011,0.230,0.022,0.343,0.048,0.356,0.012,0.013
model.000.02.pdb,0.480,0.098,0.393,0.000,0.481,0.000,0.373,0.012,0.545,0.111
model.000.03.pdb,0.286,0.000,0.246,0.029,0.339,0.027,0.511,0.039,0.347,0.018
model.000.04.pdb,0.396,0.600,0.238,0.028,0.242,0.055,0.077,0.051,0.333,0.714
model.000.05.pdb,0.288,0.000,0.404,0.226,0.339,0.113,0.125,0.151,0.273,0.016
model.000.06.pdb,0.739,0.170,0.615,0.026,0.804,0.064,0.206,0.073,0.762,0.200
model.000.07.pdb,0.145,0.089,0.107,0.000,0.123,0.025,0.364,0.012,0.123,0.102
model.000.08.pdb,0.175,0.143,0.114,0.000,0.149,0.027,0.373,0.012,0.153,0.154
model.000.09.pdb,0.040,0.017,0.155,0.773,0.095,0.473,0.000,0.483,0.000,0.016
