 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.104,0.667,0.023,0.089,0.688,0.490,0.103,0.000,0.000,0.314
model.000.01.pdb,0.000,0.127,0.000,0.000,0.340,0.122,0.000,0.022,0.000,0.581
model.000.02.pdb,0.200,0.714,0.108,0.071,0.491,0.604,0.098,0.000,0.000,0.127
model.000.03.pdb,0.254,0.081,0.692,0.000,0.038,0.141,0.000,0.032,0.013,0.000
model.000.04.pdb,0.149,0.804,0.046,0.113,0.585,0.583,0.127,0.000,0.013,0.167
model.000.05.pdb,0.069,0.122,0.596,0.023,0.077,0.152,0.011,0.097,0.039,0.000
model.000.06.pdb,0.228,0.169,0.000,0.547,0.100,0.062,0.608,0.109,0.327,0.086
model.000.07.pdb,0.123,0.100,0.600,0.033,0.085,0.125,0.022,0.074,0.024,0.000
model.000.08.pdb,0.115,0.644,0.000,0.111,0.596,0.457,0.127,0.000,0.000,0.245
model.000.09.pdb,0.000,0.158,0.000,0.000,0.367,0.180,0.014,0.020,0.000,0.606
