 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.085,0.593,0.608,0.034,0.000,0.540,0.574,0.283,0.236,0.034
model.000.01.pdb,0.145,0.079,0.085,0.014,0.015,0.093,0.436,0.724,0.389,0.090
model.000.02.pdb,0.081,0.636,0.686,0.067,0.000,0.558,0.393,0.125,0.091,0.080
model.000.03.pdb,0.348,0.117,0.079,0.460,0.211,0.000,0.057,0.062,0.000,0.358
model.000.04.pdb,0.057,0.780,0.809,0.044,0.000,0.667,0.453,0.145,0.127,0.056
model.000.05.pdb,0.508,0.127,0.118,0.532,0.309,0.026,0.100,0.076,0.014,0.516
model.000.06.pdb,0.000,0.242,0.200,0.023,0.038,0.281,0.045,0.016,0.123,0.024
model.000.07.pdb,0.406,0.093,0.098,0.613,0.288,0.037,0.079,0.056,0.000,0.456
model.000.08.pdb,0.051,0.600,0.617,0.024,0.000,0.614,0.511,0.216,0.170,0.024
model.000.09.pdb,0.154,0.108,0.115,0.026,0.014,0.125,0.463,0.688,0.421,0.100
