 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.026,0.197,0.012,0.132,0.369,0.134,0.405,0.500,0.043,0.571
model.000.01.pdb,0.259,0.081,0.509,0.397,0.038,0.517,0.065,0.065,0.468,0.040
model.000.02.pdb,0.015,0.226,0.000,0.085,0.309,0.077,0.301,0.423,0.036,0.603
model.000.03.pdb,0.333,0.204,0.054,0.538,0.023,0.367,0.026,0.080,0.045,0.077
model.000.04.pdb,0.000,0.048,0.012,0.048,0.773,0.056,0.683,0.564,0.032,0.534
model.000.05.pdb,0.082,0.017,0.250,0.488,0.034,0.619,0.068,0.067,0.092,0.037
model.000.06.pdb,0.204,0.059,0.532,0.352,0.041,0.481,0.058,0.039,0.456,0.032
model.000.07.pdb,0.265,0.095,0.232,0.707,0.021,0.711,0.048,0.061,0.212,0.022
model.000.08.pdb,0.269,0.074,0.490,0.370,0.030,0.446,0.045,0.049,0.500,0.032
model.000.09.pdb,0.026,0.176,0.012,0.114,0.376,0.131,0.413,0.544,0.032,0.514
