 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.372,0.113,0.364,0.000,0.264,0.000,0.011,0.186,0.050
model.000.01.pdb,0.372,1.000,0.031,0.155,0.043,0.088,0.012,0.086,0.085,0.282
model.000.02.pdb,0.113,0.031,1.000,0.155,0.011,0.254,0.024,0.041,0.510,0.011
model.000.03.pdb,0.364,0.155,0.155,1.000,0.032,0.705,0.049,0.062,0.130,0.034
model.000.04.pdb,0.000,0.043,0.011,0.032,1.000,0.030,0.691,0.578,0.029,0.476
model.000.05.pdb,0.264,0.088,0.254,0.705,0.030,1.000,0.069,0.079,0.197,0.031
model.000.06.pdb,0.000,0.012,0.024,0.049,0.691,0.069,1.000,0.644,0.043,0.429
model.000.07.pdb,0.011,0.086,0.041,0.062,0.578,0.079,0.644,1.000,0.077,0.500
model.000.08.pdb,0.186,0.085,0.510,0.130,0.029,0.197,0.043,0.077,1.000,0.030
model.000.09.pdb,0.050,0.282,0.011,0.034,0.476,0.031,0.429,0.500,0.030,1.000
