 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.314,0.361,0.183,0.000,0.228,0.000,0.167,0.000,0.271,0.359
model.000.01.pdb,0.121,0.217,0.054,0.014,0.055,0.069,0.111,0.038,0.079,0.277
model.000.02.pdb,0.423,0.037,0.393,0.014,0.453,0.041,0.346,0.038,0.447,0.053
model.000.03.pdb,0.562,0.500,0.362,0.071,0.393,0.114,0.044,0.092,0.468,0.564
model.000.04.pdb,0.020,0.000,0.069,0.465,0.029,0.408,0.042,0.493,0.021,0.011
model.000.05.pdb,0.640,0.333,0.509,0.108,0.574,0.164,0.068,0.139,0.551,0.388
model.000.06.pdb,0.033,0.000,0.102,0.576,0.067,0.477,0.023,0.554,0.024,0.013
model.000.07.pdb,0.028,0.034,0.097,0.473,0.067,0.493,0.061,0.560,0.010,0.044
model.000.08.pdb,0.328,0.031,0.348,0.012,0.443,0.011,0.588,0.045,0.386,0.044
model.000.09.pdb,0.010,0.038,0.051,0.320,0.030,0.457,0.044,0.408,0.011,0.062
