 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.154,0.027,0.104,0.321,0.266,0.062,0.188,0.061,0.143,0.037
model.000.01.pdb,0.141,0.079,0.569,0.013,0.740,0.022,0.745,0.134,0.792,0.034
model.000.02.pdb,0.011,0.364,0.000,0.200,0.105,0.449,0.084,0.530,0.068,0.435
model.000.03.pdb,0.673,0.023,0.147,0.188,0.120,0.140,0.100,0.021,0.122,0.115
model.000.04.pdb,0.108,0.064,0.588,0.000,0.467,0.033,0.509,0.119,0.526,0.022
model.000.05.pdb,0.072,0.103,0.377,0.015,0.633,0.037,0.596,0.162,0.612,0.050
model.000.06.pdb,0.673,0.011,0.178,0.206,0.134,0.089,0.128,0.010,0.150,0.090
model.000.07.pdb,0.158,0.175,0.000,0.017,0.000,0.203,0.000,0.114,0.000,0.152
model.000.08.pdb,0.393,0.068,0.027,0.159,0.000,0.113,0.013,0.034,0.037,0.086
model.000.09.pdb,0.079,0.045,0.288,0.000,0.104,0.013,0.131,0.026,0.197,0.000
