 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.015,0.164,0.176,0.000,0.209,0.061,0.250,0.419,0.141
model.000.01.pdb,0.015,1.000,0.012,0.040,0.463,0.039,0.012,0.393,0.157,0.029
model.000.02.pdb,0.164,0.012,1.000,0.021,0.026,0.054,0.529,0.066,0.083,0.607
model.000.03.pdb,0.176,0.040,0.021,1.000,0.014,0.661,0.076,0.150,0.090,0.000
model.000.04.pdb,0.000,0.463,0.026,0.014,1.000,0.000,0.000,0.175,0.100,0.015
model.000.05.pdb,0.209,0.039,0.054,0.661,0.000,1.000,0.064,0.134,0.088,0.012
model.000.06.pdb,0.061,0.012,0.529,0.076,0.000,0.064,1.000,0.010,0.000,0.438
model.000.07.pdb,0.250,0.393,0.066,0.150,0.175,0.134,0.010,1.000,0.521,0.076
model.000.08.pdb,0.419,0.157,0.083,0.090,0.100,0.088,0.000,0.521,1.000,0.082
model.000.09.pdb,0.141,0.029,0.607,0.000,0.015,0.012,0.438,0.076,0.082,1.000
