 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.852,0.066,0.081,0.471,0.329,0.035,0.118,0.215,0.097,0.700
model.000.01.pdb,0.044,0.804,0.796,0.043,0.000,0.694,0.455,0.156,0.156,0.054
model.000.02.pdb,0.750,0.048,0.063,0.382,0.275,0.026,0.070,0.186,0.094,0.788
model.000.03.pdb,0.194,0.109,0.117,0.041,0.044,0.127,0.475,0.893,0.325,0.134
model.000.04.pdb,0.457,0.053,0.056,0.944,0.414,0.011,0.036,0.052,0.013,0.486
model.000.05.pdb,0.119,0.358,0.360,0.068,0.014,0.235,0.500,0.227,0.059,0.069
model.000.06.pdb,0.061,0.714,0.818,0.047,0.000,0.705,0.385,0.138,0.100,0.060
model.000.07.pdb,0.135,0.446,0.481,0.048,0.013,0.412,0.816,0.340,0.212,0.075
model.000.08.pdb,0.048,0.735,0.723,0.034,0.000,0.767,0.431,0.117,0.136,0.059
model.000.09.pdb,0.645,0.076,0.067,0.479,0.303,0.000,0.101,0.157,0.052,0.733
