 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.488,0.235,0.000,0.040,0.078,0.015,0.029,0.109,0.304
model.000.01.pdb,0.053,0.511,0.077,0.038,0.269,0.027,0.321,0.167,0.054,0.098
model.000.02.pdb,0.000,0.133,0.591,0.012,0.000,0.407,0.028,0.000,0.322,0.426
model.000.03.pdb,0.013,0.169,0.365,0.025,0.049,0.041,0.136,0.013,0.039,0.388
model.000.04.pdb,0.571,0.032,0.020,0.697,0.402,0.128,0.195,0.486,0.125,0.021
model.000.05.pdb,0.011,0.152,0.472,0.023,0.045,0.077,0.155,0.012,0.075,0.415
model.000.06.pdb,0.500,0.012,0.023,0.683,0.333,0.105,0.177,0.297,0.066,0.024
model.000.07.pdb,0.474,0.062,0.019,0.519,0.446,0.110,0.282,0.333,0.087,0.020
model.000.08.pdb,0.022,0.215,0.446,0.045,0.011,0.554,0.000,0.000,0.508,0.418
model.000.09.pdb,0.438,0.148,0.011,0.427,0.594,0.041,0.478,0.417,0.040,0.022
