 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.245,0.304,0.123,0.088,0.157,0.080,0.070,0.125,0.254,0.181
model.000.01.pdb,0.013,0.137,0.000,0.012,0.548,0.011,0.478,0.457,0.022,0.479
model.000.02.pdb,0.405,0.158,0.500,0.241,0.011,0.298,0.024,0.020,0.540,0.034
model.000.03.pdb,0.118,0.032,0.362,0.161,0.056,0.180,0.064,0.088,0.596,0.023
model.000.04.pdb,0.439,0.294,0.082,0.634,0.011,0.480,0.012,0.063,0.116,0.071
model.000.05.pdb,0.000,0.000,0.388,0.131,0.126,0.206,0.145,0.108,0.254,0.033
model.000.06.pdb,0.300,0.091,0.469,0.431,0.020,0.481,0.034,0.039,0.456,0.021
model.000.07.pdb,0.306,0.365,0.145,0.108,0.074,0.113,0.023,0.082,0.224,0.143
model.000.08.pdb,0.405,0.435,0.179,0.155,0.032,0.138,0.012,0.063,0.262,0.123
model.000.09.pdb,0.000,0.000,0.029,0.044,0.370,0.099,0.483,0.419,0.025,0.267
