 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,1.000,0.025,0.012,0.548,0.394,0.084,0.173,0.492,0.095,0.025
model.000.01.pdb,0.025,1.000,0.125,0.012,0.145,0.130,0.134,0.129,0.176,0.169
model.000.02.pdb,0.012,0.125,1.000,0.024,0.011,0.270,0.040,0.000,0.224,0.775
model.000.03.pdb,0.548,0.012,0.024,1.000,0.365,0.122,0.200,0.329,0.106,0.025
model.000.04.pdb,0.394,0.145,0.011,0.365,1.000,0.044,0.453,0.500,0.054,0.012
model.000.05.pdb,0.084,0.130,0.270,0.122,0.044,1.000,0.000,0.061,0.630,0.242
model.000.06.pdb,0.173,0.134,0.040,0.200,0.453,0.000,1.000,0.232,0.000,0.042
model.000.07.pdb,0.492,0.129,0.000,0.329,0.500,0.061,0.232,1.000,0.099,0.000
model.000.08.pdb,0.095,0.176,0.224,0.106,0.054,0.630,0.000,0.099,1.000,0.215
model.000.09.pdb,0.025,0.169,0.775,0.025,0.012,0.242,0.042,0.000,0.215,1.000
