 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.477,0.180,0.469,0.281,0.020,0.290,0.034,0.029,0.482,0.032
model.000.01.pdb,0.000,0.141,0.000,0.000,0.493,0.000,0.333,0.367,0.000,0.463
model.000.02.pdb,0.196,0.097,0.417,0.095,0.032,0.134,0.036,0.062,0.717,0.011
model.000.03.pdb,0.425,0.778,0.032,0.204,0.033,0.125,0.000,0.042,0.103,0.219
model.000.04.pdb,0.048,0.333,0.000,0.014,0.275,0.013,0.247,0.354,0.000,0.540
model.000.05.pdb,0.317,0.132,0.433,0.500,0.027,0.593,0.050,0.071,0.406,0.037
model.000.06.pdb,0.167,0.045,0.296,0.420,0.042,0.592,0.072,0.071,0.286,0.033
model.000.07.pdb,0.000,0.059,0.000,0.058,0.714,0.054,0.535,0.562,0.031,0.494
model.000.08.pdb,0.096,0.422,0.000,0.032,0.190,0.014,0.107,0.207,0.000,0.348
model.000.09.pdb,0.354,0.143,0.412,0.490,0.030,0.455,0.034,0.009,0.383,0.032
