 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.245,0.013,0.405,0.118,0.439,0.000,0.300,0.306,0.405,0.000
model.000.01.pdb,0.304,0.137,0.158,0.032,0.294,0.000,0.091,0.365,0.435,0.000
model.000.02.pdb,0.123,0.000,0.500,0.362,0.082,0.388,0.469,0.145,0.179,0.029
model.000.03.pdb,0.088,0.012,0.241,0.161,0.634,0.131,0.431,0.108,0.155,0.044
model.000.04.pdb,0.157,0.548,0.011,0.056,0.011,0.126,0.020,0.074,0.032,0.370
model.000.05.pdb,0.080,0.011,0.298,0.180,0.480,0.206,0.481,0.113,0.138,0.099
model.000.06.pdb,0.070,0.478,0.024,0.064,0.012,0.145,0.034,0.023,0.012,0.483
model.000.07.pdb,0.125,0.457,0.020,0.088,0.063,0.108,0.039,0.082,0.063,0.419
model.000.08.pdb,0.254,0.022,0.540,0.596,0.116,0.254,0.456,0.224,0.262,0.025
model.000.09.pdb,0.181,0.479,0.034,0.023,0.071,0.033,0.021,0.143,0.123,0.267
