 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.028,0.209,0.013,0.139,0.354,0.141,0.370,0.450,0.034,0.582
model.000.01.pdb,0.183,0.054,0.529,0.317,0.049,0.458,0.090,0.087,0.483,0.040
model.000.02.pdb,0.155,0.042,0.510,0.316,0.040,0.464,0.069,0.069,0.466,0.042
model.000.03.pdb,0.000,0.037,0.012,0.049,0.754,0.057,0.661,0.566,0.033,0.535
model.000.04.pdb,0.000,0.130,0.000,0.013,0.500,0.012,0.347,0.395,0.000,0.431
model.000.05.pdb,0.292,0.078,0.533,0.273,0.010,0.375,0.023,0.020,0.569,0.011
model.000.06.pdb,0.311,0.119,0.179,0.861,0.021,0.721,0.037,0.063,0.167,0.022
model.000.07.pdb,0.293,0.224,0.034,0.525,0.034,0.360,0.039,0.080,0.044,0.104
model.000.08.pdb,0.514,0.579,0.053,0.298,0.000,0.193,0.000,0.011,0.109,0.133
model.000.09.pdb,0.013,0.169,0.012,0.091,0.412,0.083,0.397,0.494,0.044,0.588
