 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.356,0.061,0.023,0.443,0.465,0.044,0.476,0.315,0.021,0.036
model.000.01.pdb,0.033,0.171,0.750,0.043,0.021,0.268,0.035,0.000,0.227,0.688
model.000.02.pdb,0.304,0.083,0.013,0.353,0.532,0.036,0.585,0.279,0.011,0.027
model.000.03.pdb,0.000,0.151,0.167,0.027,0.130,0.000,0.218,0.014,0.000,0.200
model.000.04.pdb,0.603,0.023,0.022,0.717,0.413,0.141,0.250,0.463,0.100,0.023
model.000.05.pdb,0.014,0.000,0.333,0.027,0.026,0.029,0.153,0.014,0.014,0.245
model.000.06.pdb,0.024,0.121,0.727,0.035,0.022,0.242,0.053,0.000,0.217,0.553
model.000.07.pdb,0.012,0.127,0.460,0.024,0.035,0.068,0.116,0.013,0.066,0.429
model.000.08.pdb,0.036,0.154,0.674,0.035,0.011,0.239,0.025,0.000,0.232,0.644
model.000.09.pdb,0.347,0.099,0.034,0.431,0.493,0.078,0.484,0.307,0.031,0.023
