 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.153,0.015,0.288,0.000,0.156,0.000,0.190,0.000,0.304,0.000
model.000.01.pdb,0.119,0.188,0.104,0.000,0.038,0.049,0.056,0.074,0.096,0.062
model.000.02.pdb,0.271,0.000,0.451,0.045,0.473,0.000,0.434,0.048,0.429,0.000
model.000.03.pdb,0.056,0.069,0.471,0.000,0.323,0.048,0.328,0.158,0.421,0.036
model.000.04.pdb,0.094,0.309,0.020,0.266,0.067,0.657,0.039,0.410,0.038,0.620
model.000.05.pdb,0.078,0.105,0.519,0.000,0.483,0.044,0.527,0.203,0.571,0.057
model.000.06.pdb,0.033,0.357,0.033,0.219,0.099,0.522,0.080,0.472,0.065,0.552
model.000.07.pdb,0.068,0.423,0.028,0.154,0.084,0.532,0.067,0.564,0.045,0.558
model.000.08.pdb,0.483,0.036,0.441,0.110,0.415,0.032,0.403,0.043,0.400,0.032
model.000.09.pdb,0.053,0.530,0.021,0.067,0.039,0.500,0.031,0.493,0.040,0.507
