 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.073,0.090,0.080,0.138,0.164,0.134,0.090,0.063,0.264,0.098
model.000.01.pdb,0.324,0.033,0.034,0.507,0.638,0.000,0.012,0.000,0.055,0.389
model.000.02.pdb,0.013,0.444,0.451,0.012,0.000,0.605,0.269,0.111,0.224,0.012
model.000.03.pdb,0.039,0.382,0.358,0.065,0.000,0.340,0.164,0.018,0.036,0.038
model.000.04.pdb,0.174,0.200,0.194,0.024,0.013,0.211,0.535,0.622,0.395,0.122
model.000.05.pdb,0.037,0.429,0.357,0.075,0.000,0.315,0.172,0.000,0.000,0.049
model.000.06.pdb,0.036,0.680,0.702,0.023,0.000,0.705,0.500,0.179,0.179,0.047
model.000.07.pdb,0.062,0.122,0.113,0.023,0.169,0.175,0.109,0.083,0.327,0.073
model.000.08.pdb,0.066,0.130,0.121,0.012,0.099,0.190,0.138,0.132,0.429,0.078
model.000.09.pdb,0.288,0.139,0.099,0.375,0.155,0.028,0.061,0.049,0.000,0.318
