 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.119,0.659,0.022,0.087,0.327,0.100,0.011,0.611,0.308,0.039
model.000.01.pdb,0.000,0.410,0.000,0.000,0.645,0.000,0.000,0.095,0.042,0.000
model.000.02.pdb,0.215,0.375,0.116,0.083,0.197,0.095,0.032,0.685,0.440,0.120
model.000.03.pdb,0.230,0.028,0.614,0.000,0.045,0.048,0.324,0.101,0.115,0.702
model.000.04.pdb,0.164,0.434,0.056,0.111,0.220,0.110,0.021,0.800,0.392,0.051
model.000.05.pdb,0.054,0.070,0.557,0.011,0.091,0.022,0.470,0.111,0.092,0.596
model.000.06.pdb,0.224,0.078,0.000,0.627,0.032,0.527,0.011,0.239,0.164,0.000
model.000.07.pdb,0.092,0.052,0.587,0.033,0.085,0.055,0.417,0.105,0.056,0.517
model.000.08.pdb,0.131,0.558,0.000,0.110,0.260,0.108,0.011,0.620,0.319,0.014
model.000.09.pdb,0.000,0.439,0.013,0.014,0.719,0.000,0.000,0.123,0.059,0.000
