 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.024,0.424,0.379,0.023,0.000,0.531,0.286,0.179,0.294,0.023
model.000.01.pdb,0.313,0.000,0.000,0.400,0.635,0.000,0.000,0.000,0.047,0.304
model.000.02.pdb,0.012,0.333,0.288,0.036,0.000,0.392,0.097,0.033,0.107,0.012
model.000.03.pdb,0.145,0.070,0.059,0.025,0.101,0.098,0.164,0.234,0.657,0.125
model.000.04.pdb,0.426,0.000,0.000,0.304,0.474,0.000,0.014,0.100,0.119,0.413
model.000.05.pdb,0.110,0.607,0.649,0.040,0.000,0.589,0.509,0.270,0.212,0.073
model.000.06.pdb,0.062,0.577,0.625,0.048,0.000,0.490,0.458,0.143,0.085,0.061
model.000.07.pdb,0.419,0.030,0.043,0.714,0.545,0.011,0.047,0.077,0.012,0.466
model.000.08.pdb,0.234,0.000,0.000,0.155,0.382,0.000,0.032,0.055,0.184,0.227
model.000.09.pdb,0.061,0.556,0.481,0.034,0.000,0.562,0.469,0.245,0.245,0.035
