 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.072,0.305,0.215,0.034,0.068,0.491,0.025,0.117,0.642,0.206
model.000.01.pdb,0.304,0.068,0.026,0.296,0.397,0.024,0.500,0.243,0.011,0.041
model.000.02.pdb,0.023,0.188,0.696,0.023,0.022,0.235,0.065,0.000,0.229,0.744
model.000.03.pdb,0.235,0.000,0.028,0.284,0.085,0.231,0.000,0.174,0.262,0.029
model.000.04.pdb,0.033,0.078,0.667,0.032,0.010,0.213,0.072,0.000,0.177,0.547
model.000.05.pdb,0.724,0.023,0.011,0.545,0.419,0.091,0.253,0.516,0.101,0.024
model.000.06.pdb,0.023,0.099,0.600,0.022,0.000,0.178,0.063,0.000,0.173,0.540
model.000.07.pdb,0.423,0.035,0.083,0.431,0.395,0.032,0.397,0.307,0.010,0.086
model.000.08.pdb,0.022,0.188,0.615,0.032,0.021,0.184,0.086,0.000,0.179,0.558
model.000.09.pdb,0.650,0.024,0.011,0.554,0.425,0.092,0.292,0.524,0.102,0.024
