 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.000,0.208,0.186,0.069,0.061,0.238,0.056,0.030,0.113,0.034
model.000.01.pdb,0.569,0.086,0.091,0.362,0.257,0.026,0.056,0.129,0.029,0.550
model.000.02.pdb,0.060,0.623,0.608,0.022,0.000,0.674,0.510,0.236,0.214,0.046
model.000.03.pdb,0.062,0.038,0.000,0.189,0.206,0.014,0.000,0.000,0.000,0.061
model.000.04.pdb,0.067,0.755,0.712,0.053,0.000,0.585,0.350,0.103,0.071,0.065
model.000.05.pdb,0.423,0.032,0.044,0.677,0.485,0.023,0.036,0.067,0.013,0.431
model.000.06.pdb,0.058,0.725,0.680,0.044,0.000,0.646,0.357,0.094,0.094,0.057
model.000.07.pdb,0.500,0.138,0.159,0.522,0.338,0.047,0.145,0.125,0.025,0.552
model.000.08.pdb,0.067,0.643,0.630,0.054,0.000,0.596,0.455,0.175,0.175,0.054
model.000.09.pdb,0.408,0.054,0.057,0.717,0.516,0.011,0.024,0.068,0.013,0.417
