 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb
model.000.00.pdb,0.038,0.219,0.175,0.091,0.040,0.169,0.015,0.000,0.000,0.064
model.000.01.pdb,0.048,0.714,0.667,0.034,0.000,0.630,0.469,0.138,0.119,0.035
model.000.02.pdb,0.397,0.082,0.048,0.556,0.333,0.000,0.026,0.028,0.014,0.386
model.000.03.pdb,0.011,0.139,0.117,0.091,0.154,0.157,0.000,0.000,0.043,0.044
model.000.04.pdb,0.100,0.491,0.473,0.022,0.000,0.490,0.698,0.340,0.288,0.071
model.000.05.pdb,0.067,0.510,0.490,0.051,0.000,0.417,0.477,0.157,0.113,0.051
model.000.06.pdb,0.000,0.169,0.132,0.067,0.084,0.191,0.013,0.000,0.091,0.033
model.000.07.pdb,0.091,0.000,0.000,0.154,0.327,0.000,0.000,0.000,0.085,0.104
model.000.08.pdb,0.037,0.013,0.013,0.061,0.191,0.043,0.000,0.000,0.105,0.062
model.000.09.pdb,0.121,0.127,0.098,0.000,0.000,0.192,0.405,0.559,0.606,0.070
