 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.562,0.070,0.543,0.136,0.644,0.511,0.538,0.127,0.111,0.147,0.316,0.167,0.134,0.000,0.609
model.000.01.pdb,0.125,0.058,0.308,0.161,0.246,0.048,0.375,0.214,0.015,0.154,0.059,0.609,0.197,0.000,0.203
model.000.02.pdb,0.171,0.383,0.130,0.000,0.209,0.389,0.176,0.000,0.027,0.000,0.745,0.077,0.000,0.096,0.191
model.000.03.pdb,0.500,0.012,0.540,0.328,0.538,0.298,0.623,0.328,0.226,0.355,0.157,0.221,0.323,0.000,0.633
model.000.04.pdb,0.014,0.014,0.081,0.246,0.061,0.000,0.101,0.241,0.031,0.233,0.000,0.327,0.333,0.000,0.045
model.000.05.pdb,0.241,0.000,0.260,0.718,0.222,0.053,0.333,0.703,0.442,0.707,0.000,0.095,0.581,0.000,0.294
model.000.06.pdb,0.125,0.043,0.259,0.309,0.203,0.016,0.305,0.333,0.081,0.293,0.000,0.423,0.377,0.000,0.183
model.000.07.pdb,0.159,0.321,0.095,0.000,0.180,0.375,0.130,0.000,0.030,0.000,0.698,0.103,0.000,0.044,0.143
model.000.08.pdb,0.051,0.370,0.036,0.000,0.070,0.146,0.098,0.000,0.000,0.000,0.348,0.103,0.000,0.017,0.034
model.000.09.pdb,0.167,0.013,0.237,0.540,0.188,0.029,0.302,0.622,0.309,0.538,0.000,0.295,0.529,0.000,0.246
model.000.10.pdb,0.333,0.013,0.520,0.379,0.436,0.197,0.574,0.382,0.271,0.407,0.081,0.224,0.373,0.000,0.519
model.000.11.pdb,0.392,0.043,0.595,0.164,0.556,0.231,0.617,0.155,0.082,0.175,0.109,0.352,0.161,0.000,0.489
model.000.12.pdb,0.625,0.000,0.452,0.182,0.422,0.349,0.321,0.151,0.333,0.172,0.121,0.015,0.138,0.000,0.455
model.000.13.pdb,0.029,0.412,0.063,0.000,0.061,0.016,0.070,0.000,0.000,0.000,0.145,0.259,0.000,0.000,0.029
model.000.14.pdb,0.276,0.210,0.207,0.000,0.304,0.595,0.234,0.000,0.045,0.013,0.682,0.070,0.000,0.029,0.281
