 ,model.000.00.pdb,model.000.01.pdb,model.000.02.pdb,model.000.03.pdb,model.000.04.pdb,model.000.05.pdb,model.000.06.pdb,model.000.07.pdb,model.000.08.pdb,model.000.09.pdb,model.000.10.pdb,model.000.11.pdb,model.000.12.pdb,model.000.13.pdb,model.000.14.pdb
model.000.00.pdb,0.683,0.622,0.614,0.265,0.176,0.795,0.535,0.045,0.150,0.132,0.061,0.145,0.085,0.149,0.690
model.000.01.pdb,0.000,0.000,0.014,0.086,0.467,0.000,0.015,0.489,0.000,0.526,0.000,0.000,0.383,0.444,0.029
model.000.02.pdb,0.383,0.605,0.634,0.184,0.137,0.467,0.348,0.016,0.182,0.093,0.119,0.196,0.034,0.090,0.489
model.000.03.pdb,0.131,0.237,0.145,0.069,0.000,0.148,0.100,0.000,0.725,0.000,0.556,0.479,0.000,0.000,0.145
model.000.04.pdb,0.478,0.714,0.707,0.196,0.211,0.500,0.413,0.062,0.153,0.149,0.095,0.167,0.105,0.169,0.591
model.000.05.pdb,0.442,0.404,0.524,0.279,0.379,0.465,0.475,0.107,0.016,0.295,0.016,0.032,0.213,0.373,0.524
model.000.06.pdb,0.321,0.625,0.490,0.081,0.165,0.389,0.246,0.072,0.276,0.096,0.210,0.226,0.131,0.123,0.490
model.000.07.pdb,0.121,0.255,0.136,0.055,0.000,0.119,0.088,0.000,0.757,0.000,0.571,0.457,0.000,0.000,0.117
model.000.08.pdb,0.362,0.193,0.138,0.239,0.051,0.327,0.298,0.000,0.422,0.038,0.250,0.347,0.000,0.029,0.179
model.000.09.pdb,0.125,0.267,0.156,0.048,0.000,0.141,0.078,0.000,0.714,0.000,0.553,0.480,0.000,0.000,0.138
model.000.10.pdb,0.211,0.197,0.291,0.127,0.642,0.207,0.222,0.302,0.000,0.564,0.000,0.000,0.422,0.674,0.291
model.000.11.pdb,0.060,0.154,0.177,0.000,0.085,0.108,0.046,0.164,0.109,0.086,0.180,0.058,0.100,0.082,0.141
model.000.12.pdb,0.094,0.233,0.143,0.050,0.000,0.109,0.063,0.000,0.628,0.000,0.732,0.412,0.000,0.000,0.108
model.000.13.pdb,0.000,0.000,0.000,0.111,0.076,0.000,0.000,0.015,0.000,0.063,0.000,0.131,0.033,0.056,0.000
model.000.14.pdb,0.511,0.714,0.628,0.173,0.194,0.568,0.383,0.030,0.214,0.104,0.113,0.228,0.086,0.134,0.556
